Area Code (M49),Area,Item Code (CPC),Item,Element,Unit,Year,Production_Value
4,Afghanistan,'01341,Apples,Production,t,2024,109542.0077
4,Afghanistan,'01341,Apples,Production,t,2025,114229.9847
4,Afghanistan,'01341,Apples,Production,t,2026,119153.3601
4,Afghanistan,'01341,Apples,Production,t,2027,124325.216
4,Afghanistan,'01341,Apples,Production,t,2028,129759.4228
4,Afghanistan,'01341,Apples,Production,t,2029,135470.6894
4,Afghanistan,'01341,Apples,Production,t,2030,141474.6183
4,Afghanistan,'01341,Apples,Production,t,2031,147787.7629
4,Afghanistan,'01341,Apples,Production,t,2032,154427.6893
4,Afghanistan,'01341,Apples,Production,t,2033,161413.0433
4,Afghanistan,'01341,Apples,Production,t,2034,168763.6201
4,Afghanistan,'01341,Apples,Production,t,2035,176500.4407
4,Afghanistan,'01343,Apricots,Production,t,2024,83839.1712
4,Afghanistan,'01343,Apricots,Production,t,2025,85513.132
4,Afghanistan,'01343,Apricots,Production,t,2026,87240.0238
4,Afghanistan,'01343,Apricots,Production,t,2027,89021.6958
4,Afghanistan,'01343,Apricots,Production,t,2028,90860.072
4,Afghanistan,'01343,Apricots,Production,t,2029,92757.1541
4,Afghanistan,'01343,Apricots,Production,t,2030,94715.0254
4,Afghanistan,'01343,Apricots,Production,t,2031,96735.854
4,Afghanistan,'01343,Apricots,Production,t,2032,98821.8968
4,Afghanistan,'01343,Apricots,Production,t,2033,100975.5033
4,Afghanistan,'01343,Apricots,Production,t,2034,103199.1198
4,Afghanistan,'01343,Apricots,Production,t,2035,105495.2936
4,Afghanistan,'0115,Barley,Production,t,2024,287935.0777
4,Afghanistan,'0115,Barley,Production,t,2025,287669.6984
4,Afghanistan,'0115,Barley,Production,t,2026,287404.2531
4,Afghanistan,'0115,Barley,Production,t,2027,287138.7418
4,Afghanistan,'0115,Barley,Production,t,2028,286873.1646
4,Afghanistan,'0115,Barley,Production,t,2029,286607.5214
4,Afghanistan,'0115,Barley,Production,t,2030,286341.8122
4,Afghanistan,'0115,Barley,Production,t,2031,286076.037
4,Afghanistan,'0115,Barley,Production,t,2032,285810.1959
4,Afghanistan,'0115,Barley,Production,t,2033,285544.2888
4,Afghanistan,'0115,Barley,Production,t,2034,285278.3157
4,Afghanistan,'0115,Barley,Production,t,2035,285012.2767
4,Afghanistan,'22249.01,Butter and ghee of sheep milk,Production,t,2024,4439.6375
4,Afghanistan,'22249.01,Butter and ghee of sheep milk,Production,t,2025,4437.6923
4,Afghanistan,'22249.01,Butter and ghee of sheep milk,Production,t,2026,4435.7466
